央视频道,#genre#
CCTV1,http://124.77.202.8:49155/608807420
CCTV1,http://124.228.160.176:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV2,http://101.6.130.102:1234/631780532
CCTV3,http://101.6.130.102:1234/624878271
CCTV3,http://8.135.27.147:1234/624878271
CCTV3,https://shcm-stream-cf1.stream.264788.xyz/cms001/ch00000090990000001186/index.m3u8?streamid=bf8db09e1cc53a2b7ab59e4f4ed11a20&streamkey=06Au6xOXDlDEaaQWeYRemlansdBarTPFm8IxFwCXJdwI6lWmZxIaRqpzg2uUxbPvqfccdnVsBlbT9GvauX4LNyXBwcSKyryXh2jRfE6X0nxHozf2&token=1775845150-393eb1cab48579e2-0-8468bc202079d3e8e98db0ac5d526274
CCTV4,http://124.77.202.8:49155/608807419
CCTV4,http://101.6.130.102:1234/608807416
CCTV4,http://101.6.130.102:1234/631780421
CCTV4,http://101.6.130.102:1234/608807419
CCTV4,http://14.153.176.89:1234/631780421
CCTV4,http://14.153.176.89:1234/608807419
CCTV4,http://8.135.27.147:1234/608807416
CCTV5,http://14.153.176.89:1234/641886683
CCTV5,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV5,http://192.151.150.154/live/cctv5p.m3u8
CCTV5+,http://124.77.202.8:49155/641886773
CCTV5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV6,http://8.135.27.147:1234/624878396
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV7,http://1.197.249.204:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://124.77.202.8:49155/624878356
CCTV8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV9,http://192.151.150.154/live/cctv9hd.m3u8
CCTV10,http://14.153.176.89:1234/624878405
CCTV10,http://183.223.157.123:85/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/chunklist_w744036192_b1000000.m3u8
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13,http://14.153.176.89:1234/608807423
CCTV13,http://101.6.130.102:1234/608807423
CCTV14,http://124.77.202.8:49155/624878440
CCTV14,http://8.135.27.147:1234/624878440
CCTV15,http://14.153.176.89:1234/673168223
CCTV15,http://8.135.27.147:1234/673168223
CCTV4K,http://192.151.150.154/live/cctv4k.m3u8
卫视频道,#genre#
东方卫视,http://124.77.202.8:49155/651632648
东方卫视,http://8.135.27.147:1234/651632648
北京卫视,http://124.77.202.8:49155/630287636
北京卫视,http://101.6.130.102:1234/630287636
江苏卫视,http://124.77.202.8:49155/623899368
江苏卫视,http://101.6.130.102:1234/623899368
重庆卫视,http://124.77.202.8:49155/738910914
重庆卫视,http://14.153.176.89:1234/738910914
重庆卫视,http://8.135.27.147:1234/738910914
重庆卫视,http://1.197.249.204:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
